Language,Title
en,Union (set theory)
am,ውህድ ስብስብ
ar,اتحاد (نظرية المجموعات)
be,Аб’яднанне мностваў
be-tarask,Аб’яднаньне мностваў
bg,Обединение (теория на множествата)
ca,Unió
cs,Sjednocení
cy,Uniad set
de,Vereinigungsmenge
et,Ühend
el,Ένωση συνόλων
es,Unión de conjuntos
eo,Kunaĵo
eu,Bilketa (multzo-teoria)
fa,اجتماع (نظریه مجموعه‌ها)
fr,Union (mathématiques)
ga,Aontas (tacartheoiric)
xal,Ниилвар
ko,합집합
hi,संघ (समुच्चय सिद्धान्त)
hr,Unija skupova
id,Gabungan (teori himpunan)
ia,Union (theoria de insimules)
is,Sammengi
it,Unione (insiemistica)
he,איחוד (מתמטיקה)
kk,Біріктіру
lmo,Union (insemma)
hu,Unió (halmazelmélet)
mk,Унија (теорија на множества)
nah,Tlacetīliztli (tlapōhualmatiliztli)
nl,Vereniging (verzamelingenleer)
ja,和集合
nb,Union (mengdelære)
nn,Union i matematikk
om,Makoo Tuutotaa
pms,Union
pl,Suma zbiorów
pt,União (matemática)
ro,Reuniune (matematică)
ru,Объединение множеств
sk,Zjednotenie (matematika)
sl,Unija množic
sr,Унија (теорија скупова)
fi,Yhdiste (matematiikka)
sv,Union (matematik)
tl,Samahan (matematika)
ta,சேர்ப்பு (கணக் கோட்பாடு)
th,ยูเนียน
tr,Birleşme özelliği (küme teorisi)
uk,Об'єднання множин
vi,Phép hợp
vro,Hulkõ kogo
lzh,併集
wuu,并集
yue,併集
zh,并集
